loc,trait,name,sum_sq,df,F,PR(>F)
Glyma.17G017200,water_soluble_protein,C(type),456.2696734,1,22.53114306,4.52E-06
Glyma.17G017200,water_soluble_protein,Residual,3280.60085,162,NA,NA
Glyma.19G045100,water_soluble_protein,C(type),196.5226373,3,3.100921178,0.028904179
Glyma.19G045100,water_soluble_protein,Residual,2851.900507,135,NA,NA
Glyma.10G094900,water_soluble_protein,C(type),414.9379153,4,5.102998889,0.000721671
Glyma.10G094900,water_soluble_protein,Residual,2845.939682,140,NA,NA
Glyma.08G288300,water_soluble_protein,C(type),177.1937387,1,8.064042719,0.005094442
Glyma.08G288300,water_soluble_protein,Residual,3559.676785,162,NA,NA
Glyma.15G219600,water_soluble_protein,C(type),458.4240221,3,7.218569914,0.000146312
Glyma.15G219600,water_soluble_protein,Residual,3217.648011,152,NA,NA
Glyma.19G226700,water_soluble_protein,C(type),263.7181542,1,13.78485413,0.000289036
Glyma.19G226700,water_soluble_protein,Residual,2850.520188,149,NA,NA
Glyma.08G281700,water_soluble_protein,C(type),164.1087165,1,7.405938675,0.007221036
Glyma.08G281700,water_soluble_protein,Residual,3545.451264,160,NA,NA
Glyma.03G179900,water_soluble_protein,C(type),168.9744065,1,7.558307691,0.006669625
Glyma.03G179900,water_soluble_protein,Residual,3532.266391,158,NA,NA
Glyma.18G013300,water_soluble_protein,C(type),337.8551637,4,3.821645044,0.005507572
Glyma.18G013300,water_soluble_protein,Residual,3248.909076,147,NA,NA
Glyma.07G196800,water_soluble_protein,C(type),279.0341579,4,3.055737714,0.018801891
Glyma.07G196800,water_soluble_protein,Residual,3287.333739,144,NA,NA
Glyma.05G127100,water_soluble_protein,C(type),276.7048734,1,12.72512482,0.000477837
Glyma.05G127100,water_soluble_protein,Residual,3435.673176,158,NA,NA
Glyma.12G117100,water_soluble_protein,C(type),193.6805099,1,8.766801591,0.003544096
Glyma.12G117100,water_soluble_protein,Residual,3468.521528,157,NA,NA
Glyma.10G083500,water_soluble_protein,C(type),283.1591401,1,14.39179654,0.000212371
Glyma.10G083500,water_soluble_protein,Residual,3049.63085,155,NA,NA
Glyma.04G023700,water_soluble_protein,C(type),168.3326045,1,7.78235561,0.005938295
