loc,trait,name,sum_sq,df,F,PR(>F)
Glyma.04G046000,protein_content,Residual,895.5099868,200,NA,NA
Glyma.20G101800,protein_content,C(type),58.02471504,2,6.735878348,0.001498761
Glyma.20G101800,protein_content,Residual,801.1276659,186,NA,NA
Glyma.18G138800,protein_content,C(type),44.93761213,3,3.228198763,0.023670409
Glyma.18G138800,protein_content,Residual,872.3410691,188,NA,NA
Glyma.06G207000,protein_content,C(type),84.28875567,2,9.547207892,0.000113508
Glyma.06G207000,protein_content,Residual,812.2338604,184,NA,NA
Glyma.03G057900,protein_content,C(type),38.01841696,2,4.305590277,0.014967684
Glyma.03G057900,protein_content,Residual,763.7961012,173,NA,NA
Glyma.16G016600,protein_content,C(type),62.60892217,1,13.89879367,0.000250805
Glyma.16G016600,protein_content,Residual,905.4306187,201,NA,NA
Glyma.09G192800,protein_content,C(type),30.91086289,1,6.572409531,0.011091337
Glyma.09G192800,protein_content,Residual,940.6249792,200,NA,NA
Glyma.18G194800,protein_content,C(type),28.21278319,2,3.09718585,0.047929935
Glyma.18G194800,protein_content,Residual,719.6241944,158,NA,NA
Glyma.08G275600,protein_content,C(type),41.60402401,1,9.171337039,0.00278574
Glyma.08G275600,protein_content,Residual,898.1892955,198,NA,NA
Glyma.07G051600,protein_content,C(type),69.41705596,3,5.171688873,0.001859716
Glyma.07G051600,protein_content,Residual,845.618256,189,NA,NA
Glyma.15G031100,protein_content,C(type),43.27217997,1,9.486428881,0.00236105
Glyma.15G031100,protein_content,Residual,912.2965136,200,NA,NA
Glyma.02G161900,protein_content,C(type),25.81153358,1,5.613809636,0.018752714
Glyma.02G161900,protein_content,Residual,937.9642688,204,NA,NA
Glyma.20G221000,protein_content,C(type),55.6735295,2,6.351055144,0.002136061
Glyma.20G221000,protein_content,Residual,837.1557081,191,NA,NA
Glyma.16G201000,protein_content,C(type),50.82385504,3,3.698713572,0.012864852
Glyma.16G201000,protein_content,Residual,829.0375904,181,NA,NA
Glyma.11G100700,protein_content,C(type),75.55005931,2,8.407471455,0.000312946
Glyma.11G100700,protein_content,Residual,889.6201327,198,NA,NA
Glyma.03G241600,protein_content,C(type),21.91147699,1,4.869157187,0.028502216
Glyma.03G241600,protein_content,Residual,882.0108543,196,NA,NA
Glyma.08G108000,protein_content,C(type),91.84331968,1,21.13587599,7.55E-06
Glyma.08G108000,protein_content,Residual,873.4204941,201,NA,NA
Glyma.07G045100,protein_content,C(type),63.27060677,1,13.81063392,0.000265476
Glyma.07G045100,protein_content,Residual,875.0276026,191,NA,NA
Glyma.20G139200,protein_content,C(type),34.43967134,1,6.967446311,0.009101474
Glyma.20G139200,protein_content,Residual,810.6422136,164,NA,NA
Glyma.08G237100,protein_content,C(type),52.38119612,1,11.62736587,0.000789014
Glyma.08G237100,protein_content,Residual,882.9785312,196,NA,NA
Glyma.01G213900,protein_content,C(type),34.74150026,1,7.37430442,0.007246585
Glyma.01G213900,protein_content,Residual,866.8527476,184,NA,NA
Glyma.10G207500,protein_content,C(type),39.65528294,1,8.581849277,0.003793805
Glyma.10G207500,protein_content,Residual,914.9247171,198,NA,NA
Glyma.04G189800,protein_content,C(type),26.60921993,1,5.641015151,0.018520013
Glyma.04G189800,protein_content,Residual,915.1169653,194,NA,NA
Glyma.04G092900,protein_content,C(type),31.10440817,1,6.848809473,0.009537574
Glyma.04G092900,protein_content,Residual,921.940504,203,NA,NA
Glyma.08G114300,protein_content,C(type),69.49921621,2,7.837956128,0.000534379
Glyma.08G114300,protein_content,Residual,851.2327253,192,NA,NA
Glyma.13G090000,protein_content,C(type),36.73231066,1,8.077036881,0.004947588
Glyma.13G090000,protein_content,Residual,909.5491626,200,NA,NA
Glyma.15G032000,protein_content,C(type),50.58752029,2,5.547072429,0.00456028
Glyma.15G032000,protein_content,Residual,861.8096714,189,NA,NA
Glyma.03G161600,protein_content,C(type),28.55325725,2,3.248135738,0.040947364
Glyma.03G161600,protein_content,Residual,861.4846905,196,NA,NA
Glyma.06G138400,protein_content,C(type),41.62571221,1,9.240042677,0.002698009
Glyma.06G138400,protein_content,Residual,864.9458692,192,NA,NA
Glyma.15G062200,protein_content,C(type),120.1073168,2,14.22859526,1.74E-06
Glyma.15G062200,protein_content,Residual,806.1406302,191,NA,NA
Glyma.08G231100,protein_content,C(type),45.16366951,1,9.818991172,0.001986757
Glyma.08G231100,protein_content,Residual,919.9248419,200,NA,NA
Glyma.13G307200,protein_content,C(type),65.49723221,2,7.249350761,0.00091313
Glyma.13G307200,protein_content,Residual,903.4910072,200,NA,NA
Glyma.04G163300,protein_content,C(type),55.43715731,1,11.98411971,0.000662026
Glyma.04G163300,protein_content,Residual,883.5439981,191,NA,NA
Glyma.17G028100,protein_content,C(type),75.59864061,1,16.96658492,5.56E-05
Glyma.17G028100,protein_content,Residual,895.6031417,201,NA,NA
Glyma.18G024800,protein_content,C(type),55.1376565,3,3.886558997,0.010066631
Glyma.18G024800,protein_content,Residual,855.9341597,181,NA,NA
Glyma.08G201000,protein_content,C(type),120.488686,6,4.70183532,0.000200294
Glyma.08G201000,protein_content,Residual,662.0020005,155,NA,NA
Glyma.20G066700,protein_content,C(type),63.16424708,1,13.99691151,0.000238864
Glyma.20G066700,protein_content,Residual,907.0582219,201,NA,NA
Glyma.17G074200,protein_content,C(type),61.1224829,1,14.36860054,0.000204544
Glyma.17G074200,protein_content,Residual,769.9545532,181,NA,NA
Glyma.11G100500,protein_content,C(type),71.79266787,2,8.023419942,0.00044615
Glyma.11G100500,protein_content,Residual,885.8409719,198,NA,NA
Glyma.15G029100,protein_content,C(type),38.59894933,1,8.361182871,0.004268291
Glyma.15G029100,protein_content,Residual,900.2069725,195,NA,NA
Glyma.11G133300,protein_content,C(type),24.01306162,1,5.095892374,0.02507973
Glyma.11G133300,protein_content,Residual,928.3110379,197,NA,NA
Glyma.17G019000,protein_content,C(type),54.93441727,2,6.534451674,0.001806751
Glyma.17G019000,protein_content,Residual,786.0442269,187,NA,NA
Glyma.05G147100,protein_content,C(type),88.77669383,3,7.317774833,0.000119209
Glyma.05G147100,protein_content,Residual,707.6796693,175,NA,NA
Glyma.18G181700,protein_content,C(type),45.61605352,1,9.953116895,0.00187298
Glyma.18G181700,protein_content,Residual,852.4551699,186,NA,NA
Glyma.08G283900,protein_content,C(type),51.07606302,1,11.5358805,0.000833007
Glyma.08G283900,protein_content,Residual,832.3855165,188,NA,NA
Glyma.17G159800,protein_content,C(type),57.3402488,2,6.243666634,0.002353394
Glyma.17G159800,protein_content,Residual,895.4152401,195,NA,NA
Glyma.01G010500,protein_content,C(type),35.58776294,1,7.825241529,0.005655465
Glyma.01G010500,protein_content,Residual,909.5633103,200,NA,NA
Glyma.10G049600,protein_content,C(type),78.77517726,2,8.863127664,0.000207697
Glyma.10G049600,protein_content,Residual,857.6887182,193,NA,NA
Glyma.18G168800,protein_content,C(type),49.19747181,1,11.84879341,0.000745429
Glyma.18G168800,protein_content,Residual,631.1204405,152,NA,NA
Glyma.01G225000,protein_content,C(type),46.12211152,2,5.192409538,0.006340335
Glyma.01G225000,protein_content,Residual,879.3776775,198,NA,NA
Glyma.11G130900,protein_content,C(type),47.76459836,1,10.79568915,0.001209413
Glyma.11G130900,protein_content,Residual,849.4874903,192,NA,NA
Glyma.04G122800,protein_content,C(type),73.44743832,4,4.328599445,0.002591317
Glyma.04G122800,protein_content,Residual,530.2482886,125,NA,NA
Glyma.06G195700,protein_content,C(type),67.54390202,2,7.324879339,0.000864381
Glyma.06G195700,protein_content,Residual,866.7892666,188,NA,NA
Glyma.03G060300,protein_content,C(type),51.70794567,4,2.909595919,0.023096244
Glyma.03G060300,protein_content,Residual,773.0611739,174,NA,NA
Glyma.14G199500,protein_content,C(type),74.61068013,4,4.036845493,0.003853301
Glyma.14G199500,protein_content,Residual,706.9526243,153,NA,NA
Glyma.12G134500,protein_content,C(type),36.86063914,1,8.041880189,0.005071425
Glyma.12G134500,protein_content,Residual,861.7139272,188,NA,NA
Glyma.08G276500,protein_content,C(type),78.32174089,2,8.348820068,0.000361989
Glyma.08G276500,protein_content,Residual,717.6598764,153,NA,NA
Glyma.06G220500,protein_content,C(type),36.99055783,1,7.97812348,0.005224136
Glyma.06G220500,protein_content,Residual,908.7537129,196,NA,NA
Glyma.07G269000,protein_content,C(type),43.27782548,2,4.788713023,0.009438475
